"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EDELWEISS","EQ","28-May-2020","         46.80","         47.30","         48.65","         46.30","         47.30","         47.50","         47.80","    1481476","            70809538.95","       8647","     958915","         64.73"
"EDELWEISS","EQ","29-May-2020","         47.50","         47.30","         47.80","         45.65","         46.00","         46.05","         46.43","    1264779","            58729327.50","       8890","     693756","         54.85"
"EDELWEISS","EQ","01-Jun-2020","         46.05","         47.45","         48.35","         46.60","         47.40","         47.40","         47.97","    2454008","           117708661.60","       9941","    1255905","         51.18"
"EDELWEISS","EQ","02-Jun-2020","         47.40","         47.85","         48.45","         46.40","         46.65","         46.70","         47.24","     827129","            39070927.10","       4331","     565502","         68.37"
"EDELWEISS","EQ","03-Jun-2020","         46.70","         47.45","         48.65","         45.60","         46.00","         46.05","         47.07","    2005773","            94421012.80","      10601","    1185764","         59.12"
"EDELWEISS","EQ","04-Jun-2020","         46.05","         45.60","         46.80","         44.50","         44.90","         44.90","         45.35","     736462","            33400967.50","       4307","     549668","         74.64"
"EDELWEISS","EQ","05-Jun-2020","         44.90","         45.00","         47.00","         44.90","         46.20","         46.00","         45.93","    1391139","            63899303.60","       5789","     900387","         64.72"
"EDELWEISS","EQ","08-Jun-2020","         46.00","         48.30","         48.30","         46.00","         46.45","         46.45","         47.15","    2241159","           105665876.80","       8186","    1383119","         61.71"
"EDELWEISS","EQ","09-Jun-2020","         46.45","         47.85","         47.85","         45.20","         45.30","         45.40","         46.18","     958368","            44262042.60","       5662","     581061","         60.63"
"EDELWEISS","EQ","10-Jun-2020","         45.40","         45.90","         45.95","         44.80","         45.05","         45.10","         45.31","     825066","            37386156.75","       3778","     510110","         61.83"
"EDELWEISS","EQ","11-Jun-2020","         45.10","         45.00","         45.90","         43.85","         44.05","         44.30","         44.84","     845901","            37931344.30","       4237","     442041","         52.26"
"EDELWEISS","EQ","12-Jun-2020","         44.30","         42.10","         43.90","         42.10","         43.60","         43.50","         42.92","    1165086","            50005880.85","       5141","     559169","         47.99"
"EDELWEISS","EQ","15-Jun-2020","         43.50","         43.60","         45.65","         42.75","         43.15","         43.45","         44.52","    1727920","            76925059.35","       7002","     892493","         51.65"
"EDELWEISS","EQ","16-Jun-2020","         43.45","         43.95","         44.70","         41.30","         42.60","         42.55","         42.70","    2177406","            92984644.95","      10459","    1495811","         68.70"
"EDELWEISS","EQ","17-Jun-2020","         42.55","         42.75","         43.25","         41.45","         41.95","         41.55","         42.44","    1778536","            75479298.05","      10765","    1331475","         74.86"
"EDELWEISS","EQ","18-Jun-2020","         41.55","         41.60","         43.60","         40.55","         43.60","         43.25","         42.19","    2629225","           110919844.80","      25901","    1730142","         65.80"
"EDELWEISS","EQ","19-Jun-2020","         43.25","         44.40","         45.40","         42.85","         45.40","         45.40","         44.83","    3683958","           165150247.75","       8885","    2726237","         74.00"
"EDELWEISS","EQ","22-Jun-2020","         45.40","         47.65","         47.65","         47.65","         47.65","         47.65","         47.65","     538828","            25675154.20","        897","     538828","        100.00"
"EDELWEISS","EQ","23-Jun-2020","         47.65","         50.00","         50.00","         50.00","         50.00","         50.00","         50.00","     303011","            15150550.00","        713","     237482","        100.00"
"EDELWEISS","EQ","24-Jun-2020","         50.00","         52.50","         52.50","         50.00","         52.50","         51.75","         52.26","    7677307","           401181971.15","      10744","    5635491","         73.40"
"EDELWEISS","EQ","25-Jun-2020","         51.75","         53.90","         54.30","         52.25","         54.30","         54.30","         53.97","    3202739","           172852334.00","       5981","    1910437","         59.65"
"EDELWEISS","EQ","26-Jun-2020","         54.30","         57.00","         57.00","         56.75","         57.00","         57.00","         57.00","     704665","            40162522.00","       1122","     693320","         98.39"
"EDELWEISS","EQ","29-Jun-2020","         57.00","         59.75","         59.85","         54.60","         59.85","         59.85","         57.53","    8140231","           468338629.80","      18246","    4180285","         51.35"
"EDELWEISS","EQ","30-Jun-2020","         59.85","         62.80","         62.80","         59.90","         62.80","         62.80","         62.54","    6666775","           416918239.55","      16096","    2815571","         42.23"
"EDELWEISS","EQ","01-Jul-2020","         62.80","         63.00","         63.00","         59.70","         59.70","         59.70","         60.32","    1772035","           106880671.75","       6590","    1164378","         65.71"
"EDELWEISS","EQ","02-Jul-2020","         59.70","         56.75","         62.65","         56.75","         60.30","         60.50","         59.59","    5069852","           302101300.45","      20442","    1984598","         39.15"
"EDELWEISS","EQ","03-Jul-2020","         60.50","         61.80","         62.50","         60.00","         60.20","         60.60","         61.53","    1710059","           105228415.30","       8274","    1075793","         62.91"
"EDELWEISS","EQ","06-Jul-2020","         60.60","         57.60","         62.05","         57.60","         58.10","         58.10","         58.87","    3002983","           176784946.65","      12157","    1995271","         66.44"
"EDELWEISS","EQ","07-Jul-2020","         58.10","         58.90","         59.00","         56.50","         58.00","         58.10","         57.99","    1242513","            72049393.40","       7559","     787861","         63.41"
"EDELWEISS","EQ","08-Jul-2020","         58.10","         58.10","         59.75","         57.10","         57.35","         57.30","         58.23","    1189620","            69272418.40","       7764","     712277","         59.87"
